ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
chrscid_delusional,Integer,Structured Clinical Interview for DSM-5 (SCID): Delusional disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_briefpsychotic,Integer,SCID: Brief psychotic disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_szform,Integer,SCID: Schizophreniform disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_sz,Integer,SCID: Schizophrenia ,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_szaff_bipolar,Integer,"SCID: Schizoaffective disorder, Bipolar type",0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_szaff_depression,Integer,"SCID: Schizoaffective disorder, Depressive type",0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_szaff_unspecified,Integer,"SCID: Schizoaffective disorder, Unspecified type",0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_subst_med_psychosis,Integer,SCID: Substance / medication-induced psychotic disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_amc_psychosis,Integer,SCID: Psychotic disorder due to an AMC,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_other_psychosis,Integer,SCID: Other specified or unspecified psychotic disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_bp_wo_psychosis,Integer,SCID: Bipolar I disorder without psychotic features,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_bp_w_psychosis,Integer,SCID: Bipolar I disorder with psychotic features,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_bp_2,Integer,SCID: Bipolar II disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_cyclothymic,Integer,SCID: Cyclothymic disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_subst_med_bp,Integer,SCID: Substance-/medication-induced bipolar disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_other_bp,Integer,SCID: Other specified or unspecified bipolar disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_mdd_wo_psychosis,Integer,SCID: Major depressive disorder without psychotic features,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_mdd_w_psychosis,Integer,SCID: Major depressive disorder with psychotic features,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_persistent_depr,Integer,SCID: Persistent depressive disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_subst_med_depr,Integer,SCID: Substance-/medication-induced depressive disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
