ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
interview_date,,,,,
ampscz_missing,,,,,"chrpsychs_scr_missing, chrpsychs_scr_missing_2, chrpsychs_fu_missing_fu, chrpsychs_fu_missing_fu_2, hcpsychs_fu_missing_fu, hcpsychs_fu_missing_fu_2"
ampscz_missing_spec,,,"M1, M1 - Measure refusal (no reason provided) | M2, M2 - No show | M3, M3 - Research assistant forgot | M4, M4 - Uncontrollable circumstance | M5, M5 - Participant dropped out | M6, M6 - Evaluation not necessary because the screening PSYCHS was done within 21 days of the final baseline visit component (not including RA prediction, CBC w/ differential, GCP CBC with differential, and GCP Current Health Status)",,"chrpsychs_scr_missing_spec, chrpsychs_scr_missing_2, chrpsychs_fu_missing_spec_fu, chrpsychs_fu_missing_spec_fu_2, hcpsychs_fu_missing_spec_fu, hcpsychs_fu_missing_spec_fu_2"
psychs_pos_tot,Integer,Positive Symptoms and Diagnostic Criteria for the Comprehensive Assessment of at Risk Mental States (CAARMS) harmonized with the Structured Interview for Prodromal Syndromes (SIPS) (PSYCHS) Total Score,0::90;-900;-300,chrpsychs_scr_1d1+chrpsychs_scr_2d1+chrpsychs_scr_3d1+chrpsychs_scr_4d5+chrpsychs_scr_5d1+chrpsychs_scr_6d1+chrpsychs_scr_7d1+chrpsychs_scr_8d1+chrpsychs_scr_9d1+chrpsychs_scr_10d1+chrpsychs_scr_11d1+chrpsychs_scr_12d1+chrpsychs_scr_13d1+chrpsychs_scr_14d1+chrpsychs_scr_15d1. Same equation applies to CHR and HC follow up variables.,
psychs_sips_p1,Integer,Structured Interview for Prodromal Syndromes (SIPS) P1 Severity Score: Unusual Thought Content/Delusional Ideas,0::6;-900;-300,"Maximum of chrpsychs_scr_1d1, chrpsychs_scr_3d1, chrpsychs_scr_4d1, chrpsychs_scr_5d1, chrpsychs_scr_6d1. Same equation applies to CHR and HC follow up variables.",
psychs_sips_p2,Integer,SIPS P2 Severity Score: Suspiciousness/Persecutory Ideas,0::6;-900;-300,Redcap variable,"chrpsychs_scr_2d1, hcpsychs_fu_2d1, chrpsychs_fu_2d1"
psychs_sips_p3,Integer,SIPS P3 Severity Score: Grandiose Ideas,0::6;-900;-300,"Maximum of chrpsychs_scr_7d1, chrpsychs_scr_8d1. Same equation applies to CHR and HC follow up variables.",
psychs_sips_p4,Integer,SIPS P4 Severity Score: Perceptual Abnormalities/Hallucinations,0::6;-900;-300,"Maximum of chrpsychs_scr_9d1, chrpsychs_scr_10d1, chrpsychs_scr_11d1, chrpsychs_scr_12d1, chrpsychs_scr_13d1, chrpsychs_scr_14d1. Same equation applies to CHR and HC follow up variables.",
psychs_sips_p5,Integer,SIPS P5 Severity Score: Disorganized Communication,0::6;-900;-300,Redcap variable,"chrpsychs_scr_15d1, hcpsychs_fu_15d1, chrpsychs_fu_15d1"
sips_pos_tot,Integer,SIPS Positive Severity Score,0::30;-900;-300,psychs_sips_p1+psychs_sips_p2+psychs_sips_p3+psychs_sips_p4+psychs_sips_p5,
psychs_caarms_p1,Integer,product of frequency by intensity of positive scale P1,0::36;-900;-300,chrpsychs_scr_1d1*chrpsychs_scr_1d2. Same equation applies to CHR and HC follow up variables.,
psychs_caarms_p2,Integer,product of frequency by intensity of positive scale P2,0::36;-900;-300,"Maximum of (chrpsychs_scr_2d1*chrpsychs_scr_2d2),(chrpsychs_scr_3d1*chrpsychs_scr_3d2),(chrpsychs_scr_4d1*chrpsychs_scr_4d2),(chrpsychs_scr_5d1*chrpsychs_scr_5d2),(chrpsychs_scr_6d1*chrpsychs_scr_6d2),(chrpsychs_scr_7d1*chrpsychs_scr_7d2),(chrpsychs_scr_8d1*chrpsychs_scr_8d2). Same equation applies to CHR and HC follow up variables.",
psychs_caarms_p3,Integer,product of frequency by intensity of positive scale P3,0::36;-900;-300,"Maximum of (chrpsychs_scr_9d1*chrpsychs_scr_9d2),(chrpsychs_scr_10d1*chrpsychs_scr_10d2),(chrpsychs_scr_11d1*chrpsychs_scr_11d2),(chrpsychs_scr_12d1*chrpsychs_scr_12d2),(chrpsychs_scr_13d1*chrpsychs_scr_13d2),(chrpsychs_scr_14d1*chrpsychs_scr_14d2). Same equation applies to CHR and HC follow up variables.",
psychs_caarms_p4,Integer,product of frequency by intensity of positive scale P4,0::36;-900;-300,chrpsychs_scr_15d1*chrpsychs_scr_15d2. Same equation applies to CHR and HC follow up variables.,
caarms_pos_tot,Integer,sum of Comprehensive Assessment of at Risk Mental States (CAARMS) P1-4,0::144;-900;-300,psychs_caarms_p1+psychs_caarms_p2+psychs_caarms_p3+psychs_caarms_p4,
psychosis_onset_date,Date,earliest date (minimum) of all psychosis onset dates measured,,"Minimum of chrpsychs_scr_1a6_on,chrpsychs_scr_2a6_on,chrpsychs_scr_3a6_on,chrpsychs_scr_4a6_on,chrpsychs_scr_5a6_on,chrpsychs_scr_6a6_on,chrpsychs_scr_7a6_on,chrpsychs_scr_8a6_on,chrpsychs_scr_9a6_on,chrpsychs_scr_10a6_on,chrpsychs_scr_11a6_on,chrpsychs_scr_12a6_on,chrpsychs_scr_13a6_on,chrpsychs_scr_14a6_on,chrpsychs_scr_15a6_on. ",
,,,,,
chrpsychs_scr_ac1,Integer,Psychosis,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac2,Integer,CAARMS Brief Limited Intermittent Psychotic Symptoms (BLIPS),0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac3,Integer,CAARMS Attenuated Psychotic Symptoms (APS) subthreshold frequency,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac4,Integer,CAARMS APS subthreshold intensity,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac5,Integer,CAARMS APS,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac6,Integer,CAARMS Vulnerability,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac7,Integer,CAARMS ultra high risk group,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac9,Integer,SIPS - Brief Intermittent Psychotic State (BIPS) Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac10,Integer,SIPS - BIPS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac11,Integer,SIPS - BIPS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac12,Integer,SIPS - BIPS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac15,Integer,SIPS - Attenuated Positive Symptom State (APSS) Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac16,Integer,SIPS - APSS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac17,Integer,SIPS - APSS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac18,Integer,SIPS - APSS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac21,Integer,SIPS - Genetic Risk and Deterioration (GRD) Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac22,Integer,SIPS - GRD Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac23,Integer,SIPS - GRD Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac24,Integer,SIPS - GRD Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac27,Integer,SIPS - Clinical High Risk (CHR) Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac28,Integer,SIPS - CHR Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac29,Integer,SIPS - CHR Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac30,Integer,SIPS - CHR Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac31,Integer,SIPS - Current Status,1::5;-900;-300,Redcap variable; 1 = Psychosis; 2 = SIPS CHR Progression; 3 = SIPS CHR Persistence; 4 = SIPS CHR Partial Remission; 5 = SIPS CHR Full Remission; -900 = Missing; -300 = Not Applicable,
chrpsychs_scr_ac32,Integer,"The Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM5) - Attenuated Psychosis",0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
,,,,,
conversion_date,Date,Date of Conversion,,"Minimum of chrpsychs_fu_1c6_on,chrpsychs_fu_2c6_on,chrpsychs_fu_3c6_on,chrpsychs_fu_4c6_on,chrpsychs_fu_5c6_on,chrpsychs_fu_6c6_on,chrpsychs_fu_7c6_on,chrpsychs_fu_8c6_on,chrpsychs_fu_9c6_on,chrpsychs_fu_10c6_on,chrpsychs_fu_11c6_on,chrpsychs_fu_12c6_on,chrpsychs_fu_13c6_on,chrpsychs_fu_14c6_on,chrpsychs_fu_15c6_on. Same equation applies to HC follow up variables.",
,,,,,
hcpsychs_fu_ac1,Integer,Psychosis,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac1_curr,Integer,Psychosis at any time since the previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac1_prev,Integer,Psychosis at previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac1_first,Integer,Psychosis for the first time at the current visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac1_conv,Integer,Psychosis for the first time at the current visit and no psychosis before,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac9,Integer,SIPS BIPS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac10,Integer,SIPS BIPS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac11,Integer,SIPS BIPS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac12,Integer,SIPS BIPS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac15,Integer,SIPS APSS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac16,Integer,SIPS APSS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac17,Integer,SIPS APSS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac18,Integer,SIPS APSS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac21,Integer,SIPS GRD Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac22,Integer,SIPS GRD Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac23,Integer,SIPS GRD Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac24,Integer,SIPS GRD Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac27,Integer,SIPS CHR Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac28,Integer,SIPS CHR Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac29,Integer,SIPS CHR Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
